name,ipv4-address,groups,color,tags
h_1.116.59.211_CVE-2021-44228,1.116.59.211,groupname,red,CVE-2021-44228_Log4J
h_194.48.199.78_CVE-2021-44228,194.48.199.78,groupname,red,CVE-2021-44228_Log4J
h_175.6.210.66_CVE-2021-44228,175.6.210.66,groupname,red,CVE-2021-44228_Log4J
h_209.97.133.112_CVE-2021-44228,209.97.133.112,groupname,red,CVE-2021-44228_Log4J
h_128.199.222.221_CVE-2021-44228,128.199.222.221,groupname,red,CVE-2021-44228_Log4J
h_61.19.25.207_CVE-2021-44228,61.19.25.207,groupname,red,CVE-2021-44228_Log4J
h_68.183.198.36_CVE-2021-44228,68.183.198.36,groupname,red,CVE-2021-44228_Log4J
h_185.17.121.251_CVE-2021-44228,185.17.121.251,groupname,red,CVE-2021-44228_Log4J
h_103.214.5.13_CVE-2021-44228,103.214.5.13,groupname,red,CVE-2021-44228_Log4J
h_159.223.42.182_CVE-2021-44228,159.223.42.182,groupname,red,CVE-2021-44228_Log4J
h_89.249.63.3_CVE-2021-44228,89.249.63.3,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.128_CVE-2021-44228,185.220.101.128,groupname,red,CVE-2021-44228_Log4J
h_159.65.155.208_CVE-2021-44228,159.65.155.208,groupname,red,CVE-2021-44228_Log4J
h_167.71.13.196_CVE-2021-44228,167.71.13.196,groupname,red,CVE-2021-44228_Log4J
h_167.99.36.245_CVE-2021-44228,167.99.36.245,groupname,red,CVE-2021-44228_Log4J
h_161.35.119.60_CVE-2021-44228,161.35.119.60,groupname,red,CVE-2021-44228_Log4J
h_5.157.38.50_CVE-2021-44228,5.157.38.50,groupname,red,CVE-2021-44228_Log4J
h_45.155.205.233_CVE-2021-44228,45.155.205.233,groupname,red,CVE-2021-44228_Log4J
h_167.172.44.255_CVE-2021-44228,167.172.44.255,groupname,red,CVE-2021-44228_Log4J
h_120.24.23.84_CVE-2021-44228,120.24.23.84,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.146_CVE-2021-44228,185.220.101.146,groupname,red,CVE-2021-44228_Log4J
h_159.223.75.133_CVE-2021-44228,159.223.75.133,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.158_CVE-2021-44228,185.220.101.158,groupname,red,CVE-2021-44228_Log4J
h_191.232.38.25_CVE-2021-44228,191.232.38.25,groupname,red,CVE-2021-44228_Log4J
h_139.59.103.254_CVE-2021-44228,139.59.103.254,groupname,red,CVE-2021-44228_Log4J
h_150.158.189.96_CVE-2021-44228,150.158.189.96,groupname,red,CVE-2021-44228_Log4J
h_178.176.202.121_CVE-2021-44228,178.176.202.121,groupname,red,CVE-2021-44228_Log4J
h_195.251.41.139_CVE-2021-44228,195.251.41.139,groupname,red,CVE-2021-44228_Log4J
h_51.15.43.205_CVE-2021-44228,51.15.43.205,groupname,red,CVE-2021-44228_Log4J
h_20.205.104.227_CVE-2021-44228,20.205.104.227,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.173_CVE-2021-44228,185.220.101.173,groupname,red,CVE-2021-44228_Log4J
h_176.58.100.98_CVE-2021-44228,176.58.100.98,groupname,red,CVE-2021-44228_Log4J
h_192.42.116.18_CVE-2021-44228,192.42.116.18,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.172_CVE-2021-44228,185.220.101.172,groupname,red,CVE-2021-44228_Log4J
h_45.155.204.20_CVE-2021-44228,45.155.204.20,groupname,red,CVE-2021-44228_Log4J
h_195.54.160.149_CVE-2021-44228,195.54.160.149,groupname,red,CVE-2021-44228_Log4J
h_68.183.36.244_CVE-2021-44228,68.183.36.244,groupname,red,CVE-2021-44228_Log4J
h_138.197.72.76_CVE-2021-44228,138.197.72.76,groupname,red,CVE-2021-44228_Log4J
h_147.182.216.21_CVE-2021-44228,147.182.216.21,groupname,red,CVE-2021-44228_Log4J
h_197.246.171.83_CVE-2021-44228,197.246.171.83,groupname,red,CVE-2021-44228_Log4J
h_194.163.163.20_CVE-2021-44228,194.163.163.20,groupname,red,CVE-2021-44228_Log4J
h_103.103.0.142_CVE-2021-44228,103.103.0.142,groupname,red,CVE-2021-44228_Log4J
h_178.176.203.190_CVE-2021-44228,178.176.203.190,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.133_CVE-2021-44228,185.220.101.133,groupname,red,CVE-2021-44228_Log4J
h_141.239.152.254_CVE-2021-44228,141.239.152.254,groupname,red,CVE-2021-44228_Log4J
h_159.89.94.219_CVE-2021-44228,159.89.94.219,groupname,red,CVE-2021-44228_Log4J
h_138.197.106.234_CVE-2021-44228,138.197.106.234,groupname,red,CVE-2021-44228_Log4J
h_164.90.199.221_CVE-2021-44228,164.90.199.221,groupname,red,CVE-2021-44228_Log4J
h_162.255.202.246_CVE-2021-44228,162.255.202.246,groupname,red,CVE-2021-44228_Log4J
h_185.220.101.21_CVE-2021-44228,185.220.101.21,groupname,red,CVE-2021-44228_Log4J
h_205.185.125.147_CVE-2021-44228,205.185.125.147,groupname,red,CVE-2021-44228_Log4J
h_138.197.9.239_CVE-2021-44228,138.197.9.239,groupname,red,CVE-2021-44228_Log4J
h_185.167.163.118_CVE-2021-44228,185.167.163.118,groupname,red,CVE-2021-44228_Log4J
h_20.71.156.146_CVE-2021-44228,20.71.156.146,groupname,red,CVE-2021-44228_Log4J
h_151.80.148.159_CVE-2021-44228,151.80.148.159,groupname,red,CVE-2021-44228_Log4J
h_60.31.180.149_CVE-2021-44228,60.31.180.149,groupname,red,CVE-2021-44228_Log4J
h_185.220.100.252_CVE-2021-44228,185.220.100.252,groupname,red,CVE-2021-44228_Log4J
h_45.129.56.200_CVE-2021-44228,45.129.56.200,groupname,red,CVE-2021-44228_Log4J
h_209.141.46.47_CVE-2021-44228,209.141.46.47,groupname,red,CVE-2021-44228_Log4J
h_54.146.233.218_CVE-2021-44228,54.146.233.218,groupname,red,CVE-2021-44228_Log4J
h_167.172.94.250_CVE-2021-44228,167.172.94.250,groupname,red,CVE-2021-44228_Log4J
h_159.223.9.17_CVE-2021-44228,159.223.9.17,groupname,red,CVE-2021-44228_Log4J
h_128.199.48.147_CVE-2021-44228,128.199.48.147,groupname,red,CVE-2021-44228_Log4J
h_159.65.59.77_CVE-2021-44228,159.65.59.77,groupname,red,CVE-2021-44228_Log4J
h_167.99.88.151_CVE-2021-44228,167.99.88.151,groupname,red,CVE-2021-44228_Log4J
