name,ipv4-address,groups,color,tags
h_167.99.88.151_CVE-2021-44228,167.99.88.151,groupname,red,CVE-2021-44228_Log4J
h_167.99.44.32_CVE-2021-44228,167.99.44.32,groupname,red,CVE-2021-44228_Log4J
h_167.99.36.245_CVE-2021-44228,167.99.36.245,groupname,red,CVE-2021-44228_Log4J
h_167.71.4.81_CVE-2021-44228,167.71.4.81,groupname,red,CVE-2021-44228_Log4J
h_167.71.1.144_CVE-2021-44228,167.71.1.144,groupname,red,CVE-2021-44228_Log4J
h_165.232.84.228_CVE-2021-44228,165.232.84.228,groupname,red,CVE-2021-44228_Log4J
h_165.232.84.226_CVE-2021-44228,165.232.84.226,groupname,red,CVE-2021-44228_Log4J
h_165.232.80.166_CVE-2021-44228,165.232.80.166,groupname,red,CVE-2021-44228_Log4J
h_165.232.80.22_CVE-2021-44228,165.232.80.22,groupname,red,CVE-2021-44228_Log4J
h_165.227.239.108_CVE-2021-44228,165.227.239.108,groupname,red,CVE-2021-44228_Log4J
h_165.227.37.189_CVE-2021-44228,165.227.37.189,groupname,red,CVE-2021-44228_Log4J
h_165.227.32.109_CVE-2021-44228,165.227.32.109,groupname,red,CVE-2021-44228_Log4J
h_165.22.213.246_CVE-2021-44228,165.22.213.246,groupname,red,CVE-2021-44228_Log4J
h_165.22.201.45_CVE-2021-44228,165.22.201.45,groupname,red,CVE-2021-44228_Log4J
h_164.92.254.33_CVE-2021-44228,164.92.254.33,groupname,red,CVE-2021-44228_Log4J
h_164.52.53.163_CVE-2021-44228,164.52.53.163,groupname,red,CVE-2021-44228_Log4J
h_161.35.156.13_CVE-2021-44228,161.35.156.13,groupname,red,CVE-2021-44228_Log4J
h_161.35.155.230_CVE-2021-44228,161.35.155.230,groupname,red,CVE-2021-44228_Log4J
h_160.238.38.212_CVE-2021-44228,160.238.38.212,groupname,red,CVE-2021-44228_Log4J
h_160.238.38.207_CVE-2021-44228,160.238.38.207,groupname,red,CVE-2021-44228_Log4J
h_160.238.38.196_CVE-2021-44228,160.238.38.196,groupname,red,CVE-2021-44228_Log4J
h_159.223.61.102_CVE-2021-44228,159.223.61.102,groupname,red,CVE-2021-44228_Log4J
h_159.223.42.182_CVE-2021-44228,159.223.42.182,groupname,red,CVE-2021-44228_Log4J
h_159.203.187.141_CVE-2021-44228,159.203.187.141,groupname,red,CVE-2021-44228_Log4J
h_159.203.58.73_CVE-2021-44228,159.203.58.73,groupname,red,CVE-2021-44228_Log4J
h_159.203.45.181_CVE-2021-44228,159.203.45.181,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.185_CVE-2021-44228,159.89.154.185,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.102_CVE-2021-44228,159.89.154.102,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.77_CVE-2021-44228,159.89.154.77,groupname,red,CVE-2021-44228_Log4J
h_159.89.154.64_CVE-2021-44228,159.89.154.64,groupname,red,CVE-2021-44228_Log4J
h_159.89.150.150_CVE-2021-44228,159.89.150.150,groupname,red,CVE-2021-44228_Log4J
h_159.89.146.147_CVE-2021-44228,159.89.146.147,groupname,red,CVE-2021-44228_Log4J
h_159.89.133.216_CVE-2021-44228,159.89.133.216,groupname,red,CVE-2021-44228_Log4J
h_159.89.122.19_CVE-2021-44228,159.89.122.19,groupname,red,CVE-2021-44228_Log4J
h_159.89.115.238_CVE-2021-44228,159.89.115.238,groupname,red,CVE-2021-44228_Log4J
h_159.89.94.219_CVE-2021-44228,159.89.94.219,groupname,red,CVE-2021-44228_Log4J
h_159.89.85.91_CVE-2021-44228,159.89.85.91,groupname,red,CVE-2021-44228_Log4J
h_159.89.48.173_CVE-2021-44228,159.89.48.173,groupname,red,CVE-2021-44228_Log4J
h_159.65.59.77_CVE-2021-44228,159.65.59.77,groupname,red,CVE-2021-44228_Log4J
h_159.48.55.216_CVE-2021-44228,159.48.55.216,groupname,red,CVE-2021-44228_Log4J
h_157.245.129.50_CVE-2021-44228,157.245.129.50,groupname,red,CVE-2021-44228_Log4J
h_156.146.35.73_CVE-2021-44228,156.146.35.73,groupname,red,CVE-2021-44228_Log4J
h_154.65.28.250_CVE-2021-44228,154.65.28.250,groupname,red,CVE-2021-44228_Log4J
h_147.182.242.241_CVE-2021-44228,147.182.242.241,groupname,red,CVE-2021-44228_Log4J
h_147.182.242.144_CVE-2021-44228,147.182.242.144,groupname,red,CVE-2021-44228_Log4J
h_147.182.216.21_CVE-2021-44228,147.182.216.21,groupname,red,CVE-2021-44228_Log4J
h_147.182.187.229_CVE-2021-44228,147.182.187.229,groupname,red,CVE-2021-44228_Log4J
h_147.182.179.141_CVE-2021-44228,147.182.179.141,groupname,red,CVE-2021-44228_Log4J
h_147.135.6.221_CVE-2021-44228,147.135.6.221,groupname,red,CVE-2021-44228_Log4J
h_146.70.75.54_CVE-2021-44228,146.70.75.54,groupname,red,CVE-2021-44228_Log4J
h_146.70.75.53_CVE-2021-44228,146.70.75.53,groupname,red,CVE-2021-44228_Log4J
h_146.70.75.21_CVE-2021-44228,146.70.75.21,groupname,red,CVE-2021-44228_Log4J
h_146.59.45.142_CVE-2021-44228,146.59.45.142,groupname,red,CVE-2021-44228_Log4J
h_146.56.148.181_CVE-2021-44228,146.56.148.181,groupname,red,CVE-2021-44228_Log4J
h_144.48.37.78_CVE-2021-44228,144.48.37.78,groupname,red,CVE-2021-44228_Log4J
